Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
1961-09-06 06:00:01,1961-09-07 06:00:00,1961-09-06,7.0,Y
1961-09-07 06:00:01,1961-09-08 06:00:00,1961-09-07,8.5,Y
1961-09-08 06:00:01,1961-09-09 06:00:00,1961-09-08,0.0,Y
1961-09-09 06:00:01,1961-09-10 06:00:00,1961-09-09,0.0,Y
1961-09-10 06:00:01,1961-09-11 06:00:00,1961-09-10,0.0,Y
1961-09-11 06:00:01,1961-09-12 06:00:00,1961-09-11,9.0,Y
1961-09-12 06:00:01,1961-09-13 06:00:00,1961-09-12,0.0,Y
1961-09-13 06:00:01,1961-09-14 06:00:00,1961-09-13,15.0,Y
1961-09-14 06:00:01,1961-09-15 06:00:00,1961-09-14,3.0,Y
1961-09-15 06:00:01,1961-09-16 06:00:00,1961-09-15,2.2,Y
1961-09-16 06:00:01,1961-09-17 06:00:00,1961-09-16,0.0,Y
1961-09-17 06:00:01,1961-09-18 06:00:00,1961-09-17,0.6,Y
1961-09-18 06:00:01,1961-09-19 06:00:00,1961-09-18,0.0,Y
1961-09-19 06:00:01,1961-09-20 06:00:00,1961-09-19,0.0,Y
1961-09-20 06:00:01,1961-09-21 06:00:00,1961-09-20,0.0,Y
1961-09-21 06:00:01,1961-09-22 06:00:00,1961-09-21,0.0,Y
1961-09-22 06:00:01,1961-09-23 06:00:00,1961-09-22,0.0,Y
1961-09-23 06:00:01,1961-09-24 06:00:00,1961-09-23,0.0,Y
1961-09-24 06:00:01,1961-09-25 06:00:00,1961-09-24,4.2,Y
1961-09-25 06:00:01,1961-09-26 06:00:00,1961-09-25,1.4,Y
1961-09-26 06:00:01,1961-09-27 06:00:00,1961-09-26,0.0,Y
1961-09-27 06:00:01,1961-09-28 06:00:00,1961-09-27,0.0,Y
1961-09-28 06:00:01,1961-09-29 06:00:00,1961-09-28,5.0,Y
1961-09-29 06:00:01,1961-09-30 06:00:00,1961-09-29,21.2,Y
1961-09-30 06:00:01,1961-10-01 06:00:00,1961-09-30,0.0,Y
1961-10-01 06:00:01,1961-10-02 06:00:00,1961-10-01,0.0,Y
1961-10-02 06:00:01,1961-10-03 06:00:00,1961-10-02,0.0,Y
1961-10-03 06:00:01,1961-10-04 06:00:00,1961-10-03,0.0,Y
1961-10-04 06:00:01,1961-10-05 06:00:00,1961-10-04,0.0,Y
1961-10-05 06:00:01,1961-10-06 06:00:00,1961-10-05,0.0,Y
1961-10-06 06:00:01,1961-10-07 06:00:00,1961-10-06,0.0,Y
1961-10-07 06:00:01,1961-10-08 06:00:00,1961-10-07,0.0,Y
1961-10-08 06:00:01,1961-10-09 06:00:00,1961-10-08,9.2,Y
1961-10-09 06:00:01,1961-10-10 06:00:00,1961-10-09,2.1,Y
1961-10-10 06:00:01,1961-10-11 06:00:00,1961-10-10,0.0,Y
1961-10-11 06:00:01,1961-10-12 06:00:00,1961-10-11,0.6,Y
1961-10-12 06:00:01,1961-10-13 06:00:00,1961-10-12,0.0,Y
1961-10-13 06:00:01,1961-10-14 06:00:00,1961-10-13,0.0,Y
1961-10-14 06:00:01,1961-10-15 06:00:00,1961-10-14,0.0,Y
1961-10-15 06:00:01,1961-10-16 06:00:00,1961-10-15,0.0,Y
1961-10-16 06:00:01,1961-10-17 06:00:00,1961-10-16,3.1,Y
1961-10-17 06:00:01,1961-10-18 06:00:00,1961-10-17,11.9,Y
1961-10-18 06:00:01,1961-10-19 06:00:00,1961-10-18,1.6,Y
1961-10-19 06:00:01,1961-10-20 06:00:00,1961-10-19,6.2,Y
1961-10-20 06:00:01,1961-10-21 06:00:00,1961-10-20,0.0,Y
1961-10-21 06:00:01,1961-10-22 06:00:00,1961-10-21,0.8,Y
1961-10-22 06:00:01,1961-10-23 06:00:00,1961-10-22,0.3,Y
1961-10-23 06:00:01,1961-10-24 06:00:00,1961-10-23,11.1,Y
1961-10-24 06:00:01,1961-10-25 06:00:00,1961-10-24,18.2,Y
1961-10-25 06:00:01,1961-10-26 06:00:00,1961-10-25,3.6,Y
1961-10-26 06:00:01,1961-10-27 06:00:00,1961-10-26,1.8,Y
1961-10-27 06:00:01,1961-10-28 06:00:00,1961-10-27,3.4,Y
1961-10-28 06:00:01,1961-10-29 06:00:00,1961-10-28,0.0,Y
1961-10-29 06:00:01,1961-10-30 06:00:00,1961-10-29,0.0,Y
1961-10-30 06:00:01,1961-10-31 06:00:00,1961-10-30,5.9,Y
1961-10-31 06:00:01,1961-11-01 06:00:00,1961-10-31,2.6,Y
1961-11-01 06:00:01,1961-11-02 06:00:00,1961-11-01,5.1,Y
1961-11-02 06:00:01,1961-11-03 06:00:00,1961-11-02,15.3,Y
1961-11-03 06:00:01,1961-11-04 06:00:00,1961-11-03,6.6,Y
1961-11-04 06:00:01,1961-11-05 06:00:00,1961-11-04,0.0,Y
1961-11-05 06:00:01,1961-11-06 06:00:00,1961-11-05,0.0,Y
1961-11-06 06:00:01,1961-11-07 06:00:00,1961-11-06,0.0,Y
1961-11-07 06:00:01,1961-11-08 06:00:00,1961-11-07,2.0,Y
1961-11-08 06:00:01,1961-11-09 06:00:00,1961-11-08,0.2,Y
1961-11-09 06:00:01,1961-11-10 06:00:00,1961-11-09,3.6,Y
1961-11-10 06:00:01,1961-11-11 06:00:00,1961-11-10,9.0,Y
1961-11-11 06:00:01,1961-11-12 06:00:00,1961-11-11,10.3,Y
