index,Year,Month,Kvalitet,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
492,1985,1,G,1.54,13.9
493,1985,2,G,0.64,7.2
494,1985,3,G,1.63,10.3
495,1985,4,G,3.7,17.3
496,1985,5,G,0.68,7.7
497,1985,6,G,3.75,19.7
498,1985,7,G,1.44,15.3
499,1985,8,G,4.35,36.3
500,1985,9,G,4.03,27.2
501,1985,10,G,1.9,20.2
502,1985,11,G,1.78,13.7
503,1985,12,G,6.34,29.6
504,1986,1,G,2.6,14.1
505,1986,2,G,0.02,0.4
506,1986,3,G,3.3,31.3
507,1986,4,G,0.72,6.0
508,1986,5,G,2.19,15.7
509,1986,6,G,0.26,3.8
510,1986,7,G,2.16,35.0
511,1986,8,G,4.09,22.0
512,1986,9,G,0.79,5.2
513,1986,10,G,3.26,23.5
514,1986,11,G,4.6,17.2
515,1986,12,G,2.81,15.6
516,1987,1,G,0.61,6.8
517,1987,2,G,1.98,18.2
518,1987,3,G,1.63,11.2
519,1987,4,G,1.19,20.3
520,1987,5,G,1.78,17.7
521,1987,6,G,5.09,43.9
522,1987,7,G,3.25,23.4
523,1987,8,G,4.22,38.3
524,1987,9,G,2.3,24.2
525,1987,10,G,2.44,23.4
526,1987,11,G,2.62,22.7
527,1987,12,G,1.71,12.3
528,1988,1,G,4.73,25.3
529,1988,2,G,4.41,15.2
530,1988,3,G,2.23,13.2
531,1988,4,G,1.36,13.7
532,1988,5,G,0.84,8.2
533,1988,6,G,0.46,4.5
534,1988,7,G,4.91,28.6
535,1988,8,G,1.75,10.0
536,1988,9,G,3.58,28.2
537,1988,10,G,2.84,19.4
538,1988,11,G,1.83,32.5
539,1988,12,G,1.64,15.5
540,1989,1,G,0.8,6.9
541,1989,2,G,3.31,15.9
542,1989,3,G,3.14,19.4
543,1989,4,G,1.24,12.6
544,1989,5,G,1.02,11.4
545,1989,6,G,0.88,6.8
546,1989,7,G,1.75,12.0
547,1989,8,G,2.42,18.8
548,1989,9,G,0.89,7.2
549,1989,10,G,3.03,21.9
550,1989,11,G,0.77,7.5
551,1989,12,G,2.01,20.5
552,1990,1,G,4.18,16.8
553,1990,2,G,3.3,15.5
554,1990,3,G,1.07,10.6
555,1990,4,G,2.23,16.2
556,1990,5,G,2.91,29.5
557,1990,6,G,3.48,27.0
558,1990,7,G,1.99,15.5
559,1990,8,G,1.78,10.4
560,1990,9,G,3.23,23.0
561,1990,10,G,2.55,23.3
562,1990,11,G,1.49,15.2
563,1990,12,G,4.16,19.5
564,1991,1,G,2.57,20.4
565,1991,2,G,1.28,10.7
566,1991,3,G,1.65,24.3
567,1991,4,G,0.99,9.2
568,1991,5,G,1.21,14.0
569,1991,6,G,3.82,23.6
570,1991,7,G,0.36,6.2
571,1991,8,G,1.9,10.1
572,1991,9,G,2.09,13.1
573,1991,10,G,2.41,16.3
574,1991,11,G,4.69,21.3
575,1991,12,G,1.75,17.1
576,1992,1,G,2.25,16.4
577,1992,2,G,1.79,11.7
578,1992,3,G,2.57,19.8
579,1992,4,G,2.96,21.2
580,1992,5,G,0.83,14.4
581,1992,6,G,0.12,3.1
582,1992,7,G,2.05,21.2
583,1992,8,G,5.26,25.5
584,1992,9,G,1.86,15.3
585,1992,10,G,2.82,19.8
586,1992,11,G,4.61,32.6
587,1992,12,G,2.06,12.0
588,1993,1,G,4.08,16.3
589,1993,2,G,1.16,14.4
590,1993,3,G,0.58,8.7
591,1993,4,G,0.83,8.2
592,1993,5,G,2.11,15.7
593,1993,6,G,1.26,6.6
594,1993,7,G,4.8,28.7
595,1993,8,G,3.06,22.5
596,1993,9,G,1.65,11.3
597,1993,10,G,2.33,28.1
598,1993,11,G,1.51,14.8
599,1993,12,G,4.12,12.3
600,1994,1,G,3.04,15.6
601,1994,2,G,2.01,21.4
602,1994,3,G,2.66,17.2
603,1994,4,G,1.42,11.2
604,1994,5,G,0.21,2.6
605,1994,6,G,2.95,27.0
606,1994,7,G,0.26,7.2
607,1994,8,G,2.93,17.5
608,1994,9,G,6.99,45.0
609,1994,10,G,2.49,26.9
610,1994,11,G,2.05,18.8
611,1994,12,G,4.42,14.0
612,1995,1,G,4.0,28.5
613,1995,2,G,3.33,16.7
614,1995,3,G,2.88,19.2
615,1995,4,G,1.62,10.9
616,1995,5,G,1.69,14.4
617,1995,6,G,2.4,12.1
618,1995,7,G,2.29,52.0
619,1995,8,G,0.35,5.0
620,1995,9,G,4.42,33.1
621,1995,10,G,2.72,27.5
622,1995,11,G,2.15,22.7
623,1995,12,G,0.61,4.8
624,1996,1,G,0.48,6.5
625,1996,2,G,1.28,11.3
626,1996,3,G,0.75,8.0
627,1996,4,G,0.79,13.8
628,1996,5,G,3.88,24.2
629,1996,6,G,1.76,17.0
630,1996,7,G,0.88,10.2
631,1996,8,G,2.31,29.4
632,1996,9,G,2.34,27.2
633,1996,10,G,2.56,18.1
634,1996,11,G,3.4,18.7
635,1996,12,G,1.65,28.6
636,1997,1,G,1.15,11.5
637,1997,2,G,5.93,34.6
638,1997,3,G,1.16,10.9
639,1997,4,G,1.6,14.8
640,1997,5,G,2.43,19.4
641,1997,6,G,2.65,29.2
642,1997,7,G,2.66,52.9
643,1997,8,G,2.93,34.6
644,1997,9,G,2.13,13.9
645,1997,10,G,2.25,16.5
646,1997,11,G,1.11,8.6
647,1997,12,G,3.32,14.7
648,1998,1,G,2.46,16.9
649,1998,2,G,2.54,12.2
650,1998,3,G,1.15,17.8
651,1998,4,G,3.11,18.9
652,1998,5,G,1.0,12.7
653,1998,6,G,3.98,22.6
654,1998,7,G,3.34,44.0
655,1998,8,G,3.77,24.5
656,1998,9,G,2.31,24.1
657,1998,10,G,5.61,27.5
658,1998,11,G,0.94,9.9
659,1998,12,G,2.69,21.5
