index,Year,Month,Kvalitet,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
346,2009,12,G,1.71,18.6
347,2010,1,G,0.97,14.9
348,2010,2,G,1.71,12.8
349,2010,3,G,1.49,8.9
350,2010,4,G,1.05,7.2
351,2010,5,G,1.0,15.8
352,2010,6,G,1.76,20.1
353,2010,7,G,5.13,45.4
354,2010,8,G,3.81,37.3
355,2010,9,G,2.46,21.8
356,2010,10,G,4.19,35.9
357,2010,11,G,2.67,25.1
358,2010,12,G,1.56,8.2
359,2011,1,G,2.31,15.1
360,2011,2,G,2.31,17.8
361,2011,3,G,1.27,14.2
362,2011,4,G,1.13,14.5
363,2011,5,G,2.16,13.6
364,2011,6,G,1.93,20.8
365,2011,7,G,3.9,23.7
366,2011,8,G,5.04,28.3
367,2011,9,G,4.3,29.7
368,2011,10,G,3.44,21.3
369,2011,11,G,1.29,11.1
370,2011,12,G,4.7,21.2
371,2012,1,G,2.85,21.2
372,2012,2,G,1.9,16.6
373,2012,3,G,0.29,4.1
374,2012,4,G,2.49,27.5
375,2012,5,G,2.4,30.8
376,2012,6,G,3.18,27.1
377,2012,7,G,3.14,30.9
378,2012,8,G,2.85,18.7
379,2012,9,G,4.87,16.7
380,2012,10,G,4.71,30.8
381,2012,11,G,3.06,13.0
382,2012,12,G,2.53,13.5
383,2013,1,G,1.41,9.7
384,2013,2,G,0.59,5.0
385,2013,3,G,0.08,1.7
386,2013,4,G,1.52,10.4
387,2013,5,G,2.36,19.1
388,2013,6,G,4.64,29.2
389,2013,7,G,1.65,27.5
390,2013,8,G,1.58,20.4
391,2013,9,G,1.87,13.2
392,2013,10,G,3.42,19.6
393,2013,11,G,2.41,22.5
394,2013,12,G,4.98,21.5
395,2014,1,G,2.16,16.5
396,2014,2,G,3.84,16.3
397,2014,3,G,1.03,12.2
398,2014,4,G,1.56,12.0
399,2014,5,G,2.62,15.3
400,2014,6,G,1.73,15.8
401,2014,7,G,1.27,8.5
402,2014,8,G,4.59,18.4
403,2014,9,G,1.21,11.2
404,2014,10,G,5.37,46.8
405,2014,11,G,2.23,19.6
406,2014,12,G,4.29,25.5
407,2015,1,G,5.06,18.6
408,2015,2,G,1.42,10.7
409,2015,3,G,2.14,13.2
410,2015,4,G,1.9,14.6
411,2015,5,G,3.89,24.4
412,2015,6,G,2.03,25.3
413,2015,7,G,3.14,27.3
414,2015,8,G,3.05,21.4
415,2015,9,G,2.78,13.3
416,2015,10,G,0.42,5.8
417,2015,11,G,5.26,28.3
418,2015,12,G,3.78,17.9
419,2016,1,G,2.81,24.4
420,2016,2,G,1.85,12.6
421,2016,3,G,1.61,9.9
422,2016,4,G,2.6,19.5
423,2016,5,G,0.48,6.7
424,2016,6,G,2.35,20.1
425,2016,7,G,2.38,18.8
426,2016,8,G,3.07,20.2
427,2016,9,G,1.64,19.7
428,2016,10,G,1.42,9.6
429,2016,11,G,3.12,19.2
430,2016,12,G,1.7,13.5
431,2017,1,G,1.47,15.3
432,2017,2,G,2.61,15.2
433,2017,3,G,2.12,12.7
434,2017,4,G,1.66,11.3
435,2017,5,G,1.56,23.2
436,2017,6,G,3.74,22.1
437,2017,7,G,1.53,13.9
438,2017,8,G,2.91,15.5
439,2017,9,G,3.53,28.9
440,2017,10,G,4.51,25.6
441,2017,11,G,2.94,10.8
442,2017,12,G,4.09,21.9
443,2018,1,G,3.36,16.6
444,2018,2,G,2.1,14.5
445,2018,3,G,1.22,12.9
446,2018,4,G,2.37,17.9
447,2018,5,G,0.72,12.2
448,2018,6,G,1.42,12.1
449,2018,7,G,0.49,6.4
450,2018,8,G,3.79,43.7
451,2018,9,G,3.76,18.2
452,2018,10,G,2.36,18.5
453,2018,11,G,1.36,10.2
454,2018,12,G,1.76,14.7
455,2019,1,G,1.52,19.4
456,2019,2,G,3.75,29.3
457,2019,3,G,4.55,21.6
458,2019,4,G,1.3,35.0
459,2019,5,G,2.61,17.5
460,2019,6,G,1.41,10.7
461,2019,7,G,1.24,10.7
462,2019,8,G,4.58,23.5
463,2019,9,G,5.16,31.5
464,2019,10,G,3.0,19.1
465,2019,11,Y,2.34,12.0
466,2019,12,G,4.39,21.5
467,2020,1,G,2.83,15.4
468,2020,2,G,4.74,23.1
469,2020,3,G,2.17,13.3
470,2020,4,G,1.28,13.0
471,2020,5,G,1.08,9.8
472,2020,6,G,2.11,17.9
473,2020,7,G,3.62,16.5
474,2020,8,G,0.9,9.4
475,2020,9,G,2.52,24.4
476,2020,10,G,4.65,30.7
477,2020,11,Y,3.45,13.6
478,2020,12,Y,3.72,26.0
479,2021,1,G,2.63,22.7
480,2021,2,G,0.6,5.8
481,2021,3,G,1.98,18.2
482,2021,4,G,0.88,10.3
483,2021,5,G,3.56,17.2
484,2021,6,G,0.49,6.8
485,2021,7,G,2.86,21.1
486,2021,8,Y,3.53,22.0
487,2021,9,G,3.93,27.2
488,2021,10,G,4.95,27.9
489,2021,11,Y,2.92,23.9
490,2021,12,G,1.23,7.5
491,2022,1,G,1.93,9.7
492,2022,2,G,4.79,25.6
493,2022,3,G,0.11,2.4
494,2022,4,G,1.8,20.3
495,2022,5,G,2.11,16.2
496,2022,6,G,1.59,11.8
497,2022,7,G,3.61,52.5
498,2022,8,G,2.32,49.7
499,2022,9,G,2.55,21.8
500,2022,10,G,2.74,12.1
501,2022,11,G,1.46,11.7
502,2022,12,G,3.14,17.4
503,2023,1,G,4.9,26.2
504,2023,2,G,2.53,19.1
505,2023,3,G,3.99,27.9
506,2023,4,G,0.75,8.7
507,2023,5,G,0.46,8.5
508,2023,6,G,1.31,18.5
