Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1970,5,9.0,Y,0.96,9.0
1970,6,25.8,Y,3.12,25.8
1970,7,14.6,Y,3.13,14.6
1970,8,21.3,Y,1.89,21.3
1970,9,22.9,Y,3.08,22.9
1970,10,15.5,G,3.12,15.5
1970,11,15.8,Y,2.69,15.8
1970,12,11.2,Y,1.03,11.2
1971,1,13.6,Y,2.03,13.6
1971,2,11.0,Y,1.18,11.0
1971,3,13.4,Y,1.98,13.4
1971,4,15.2,Y,1.44,15.2
1971,5,11.1,Y,1.02,11.1
1971,6,46.5,Y,2.41,46.5
1971,7,15.4,Y,2.3,15.4
1971,8,44.0,Y,3.85,44.0
1971,9,33.1,Y,2.93,33.1
1971,10,18.4,Y,2.16,18.4
1971,11,22.2,Y,2.97,22.2
1971,12,10.9,Y,1.3,10.9
1972,1,5.5,Y,0.91,5.5
1972,2,4.9,Y,0.7,4.9
1972,3,6.5,Y,0.92,6.5
1972,4,15.3,Y,2.29,15.3
1972,5,37.0,Y,3.14,37.0
1972,6,19.9,Y,3.45,19.9
1972,7,18.8,Y,3.53,18.8
1972,8,8.3,Y,1.15,8.3
1972,9,6.1,Y,0.66,6.1
1972,10,9.8,Y,1.0,9.8
1972,11,11.7,Y,2.1,11.7
1972,12,19.2,Y,3.15,19.2
1973,1,12.7,Y,2.21,12.7
1973,2,22.8,Y,1.76,22.8
1973,3,6.3,Y,0.57,6.3
1973,4,17.9,Y,2.12,17.9
1973,5,13.7,Y,1.73,13.7
1973,6,10.6,Y,0.86,10.6
1973,7,6.0,Y,0.77,6.0
1973,8,15.9,Y,2.05,15.9
1973,9,15.5,Y,2.51,15.5
1973,10,13.8,Y,1.13,13.8
1973,11,17.0,Y,3.08,17.0
1973,12,13.8,Y,2.43,13.8
1974,1,14.0,Y,2.55,14.0
1974,2,11.0,Y,1.51,11.0
1974,3,5.8,Y,0.6,5.8
1974,4,0.0,Y,0.0,0.0
1974,5,11.2,Y,0.91,11.2
1974,6,15.5,Y,1.12,15.5
1974,7,16.6,Y,1.68,16.6
1974,8,14.7,Y,2.13,14.7
1974,9,22.6,Y,4.96,22.6
1974,10,12.7,Y,1.73,12.7
1974,11,23.9,Y,3.93,23.9
1974,12,16.8,Y,2.82,16.8
1975,1,19.6,Y,3.34,19.6
1975,2,3.9,Y,0.26,3.9
1975,3,6.2,Y,0.65,6.2
1975,4,9.6,Y,1.4,9.6
1975,5,15.5,Y,1.19,15.5
1975,6,13.2,Y,0.77,13.2
1975,7,27.3,Y,3.43,27.3
1975,8,17.9,Y,1.25,17.9
1975,9,24.5,Y,3.9,24.5
1975,10,11.7,Y,1.32,11.7
1975,11,21.9,Y,2.52,21.9
1975,12,28.9,Y,1.52,28.9
1976,1,11.5,Y,1.51,11.5
1976,2,8.6,Y,0.77,8.6
1976,3,6.1,Y,0.51,6.1
1976,4,5.8,Y,0.69,5.8
1976,5,13.4,Y,1.65,13.4
1976,6,8.1,Y,0.96,8.1
1976,7,7.8,Y,0.52,7.8
1976,8,2.8,Y,0.22,2.8
1976,9,20.7,Y,1.84,20.7
1976,10,17.5,Y,3.26,17.5
1976,11,23.3,Y,3.43,23.3
1976,12,15.8,Y,3.07,15.8
1977,1,11.8,G,3.16,11.8
1977,2,12.5,G,1.7,12.5
1977,3,17.6,G,2.61,17.6
1977,4,21.9,G,2.77,21.9
1977,5,12.2,G,1.36,12.2
1977,6,31.9,G,2.19,31.9
1977,7,27.8,G,2.22,27.8
1977,8,5.4,G,0.45,5.4
1977,9,20.0,Y,3.09,20.0
1977,10,24.0,G,2.59,24.0
1977,11,21.0,G,3.99,21.0
1977,12,22.2,G,1.7,22.2
1978,1,9.3,G,1.31,9.3
1978,2,8.0,G,1.04,8.0
1978,3,20.2,G,3.82,20.2
1978,4,6.4,G,0.49,6.4
1978,5,7.1,G,0.63,7.1
1978,6,13.6,G,1.93,13.6
1978,7,6.3,G,0.92,6.3
1978,8,30.2,G,3.48,30.2
1978,9,16.9,G,4.24,16.9
1978,10,12.1,G,1.04,12.1
1978,11,15.6,G,2.34,15.6
1978,12,9.2,G,0.83,9.2
1979,1,14.7,G,1.33,14.7
1979,2,3.5,G,0.41,3.5
1979,3,16.3,G,2.28,16.3
1979,4,11.6,G,1.79,11.6
1979,5,16.5,G,2.88,16.5
1979,6,14.1,G,1.35,14.1
1979,7,17.8,G,1.79,17.8
1979,8,38.5,G,3.12,38.5
1979,9,22.2,G,3.05,22.2
1979,10,17.7,G,1.75,17.7
1979,11,38.4,G,5.43,38.4
1979,12,30.0,G,3.01,30.0
1980,1,6.6,G,0.93,6.6
1980,2,9.1,G,0.92,9.1
1980,3,10.1,G,0.61,10.1
1980,4,2.5,G,0.22,2.5
1980,5,17.6,G,1.14,17.6
1980,6,18.3,G,3.46,18.3
1980,7,16.5,G,2.28,16.5
1980,8,20.8,G,3.3,20.8
1980,9,28.7,G,2.64,28.7
1980,10,14.8,G,3.38,14.8
1980,11,27.6,G,3.06,27.6
